CLC,psi,theta,n2,C_usle,LAImax,LAImin,PHU,l1,l2,l3,frPHUsen,SMIc,nSMI,TAinf,TAsup,SOS1,SOS2,KCmin,KCmax,eta
111,1,1,0.013,0.0001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0
112,1,0.65,0.013,0.0005,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0
113,1,0.65,0.013,0.0005,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0
121,1,0.8,0.013,0.0001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0
122,1,0.9,0.013,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0
123,1,0.9,0.013,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0
124,1,1,0.013,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0
125,1,1,0.013,0.0001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0
131,1,0,0.013,0.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0
132,1,0,0.013,0.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0
141,1,0,0.013,0.0455,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0
142,1,0.12,0.013,0.05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0
211,1.178571,0,0.03,0.3675,3.33,2.48,692.888819,0.529286,4.502172,62.229866,0.344776,0.683836,5.516175,18.05856,41.921491,1,3,1.1,1.35,0.000269
212,1.178571,0,0.03,0.2,3.33,2.48,692.888819,0.529286,4.502172,62.229866,0.344776,0.683836,5.516175,18.05856,41.921491,1,3,0.85,1.275,0.000269
213,1.178571,0,0.03,0.15,3.33,2.48,692.888819,0.529286,4.502172,62.229866,0.344776,0.683836,5.516175,18.05856,41.921491,1,3,0.6,1.2,0.000269
214,1.178571,0,0.03,0.34,3.33,2.48,692.888819,0.529286,4.502172,62.229866,0.344776,0.683836,5.516175,18.05856,41.921491,1,3,0.85,1.275,0.000269
215,1.178571,0,0.03,0.34,3.33,2.48,692.888819,0.529286,4.502172,62.229866,0.344776,0.683836,5.516175,18.05856,41.921491,1,3,0.85,1.275,0.000269
221,1.178571,0,0.08,0.45,3.33,2.48,692.888819,0.529286,4.502172,62.229866,0.344776,0.683836,5.516175,18.05856,41.921491,1,3,0.3,0.7,0.000304
222,1.178571,0,0.08,0.3,3.33,2.48,692.888819,0.529286,4.502172,62.229866,0.344776,0.683836,5.516175,18.05856,41.921491,1,3,0.3,1.05,0.000302
223,1.178571,0,0.08,0.3,3.33,2.48,692.888819,0.529286,4.502172,62.229866,0.344776,0.683836,5.516175,18.05856,41.921491,1,3,0.3,0.875,0.000304
224,1.178571,0,0.08,0.3,3.33,2.48,692.888819,0.529286,4.502172,62.229866,0.344776,0.683836,5.516175,18.05856,41.921491,1,3,0.3,0.875,0.000304
225,1.178571,0,0.08,0.3,3.33,2.48,692.888819,0.529286,4.502172,62.229866,0.344776,0.683836,5.516175,18.05856,41.921491,1,3,0.3,0.875,0.000304
231,1.178571,0,0.035,0.15,3.33,2.55,1504.143449,0.925828,10.181911,114.980785,0.588542,1.250267,15.563191,10.785263,36.057177,1,3,0.4,0.9,0.000295
232,1.178571,0,0.035,0.06,3.33,2.55,1504.143449,0.925828,10.181911,114.980785,0.588542,1.250267,15.563191,10.785263,36.057177,1,3,0.4,0.9,0.000293
233,1.178571,0,0.035,0.04,3.33,2.55,1504.143449,0.925828,10.181911,114.980785,0.588542,1.250267,15.563191,10.785263,36.057177,1,3,0.4,0.9,0.000422
241,1.178571,0,0.045,0.35,3.789587,3.217871,1296.388033,0.379707,4.107908,5.412256,0.680966,1.980742,20.794207,13.01023,25.303347,1,3,0.5,0.8,0.000298
242,1.178571,0,0.045,0.3,3.789587,3.217871,1296.388033,0.379707,4.107908,5.412256,0.680966,1.980742,20.794207,13.01023,25.303347,1,3,1.1,1.35,0.000282
243,1.178571,0,0.045,0.15,3.789587,3.217871,1296.388033,0.379707,4.107908,5.412256,0.680966,1.980742,20.794207,13.01023,25.303347,1,3,0.7,1.15,0.000341
244,1.178571,0,0.045,0.13,3.789587,3.217871,1296.388033,0.379707,4.107908,5.412256,0.680966,1.980742,20.794207,13.01023,25.303347,1,3,0.766667,1.1,0.00044
245,1.178571,0,0.045,0.15,3.789587,3.217871,1296.388033,0.379707,4.107908,5.412256,0.680966,1.980742,20.794207,13.01023,25.303347,1,3,0.766667,1.1,0.000276
311,2.178571,0,0.1,0.0025,4.32,3.2,1705.066989,0.76222,7.496814,45.470997,0.473585,1.967545,7.221233,11.785788,26.379476,1,3,0.6,1.6,0.00058
312,2.178571,0,0.1,0.00225,4.32,3.2,1705.066989,0.76222,7.496814,45.470997,0.473585,1.967545,7.221233,11.785788,26.379476,1,3,1,1,0.000544
313,2.178571,0,0.1,0.003,4.32,3.2,1705.066989,0.76222,7.496814,45.470997,0.473585,1.967545,7.221233,11.785788,26.379476,1,3,0.8,1.5,0.000544
314,2.178571,0,0.1,0.003,4.32,3.2,1705.066989,0.76222,7.496814,45.470997,0.473585,1.967545,7.221233,11.785788,26.379476,1,3,0.8,1.366667,0.000544
315,2.178571,0,0.1,0.005,4.32,3.2,1705.066989,0.76222,7.496814,45.470997,0.473585,1.967545,7.221233,11.785788,26.379476,1,3,0.8,1.366667,0.000544
321,1.178571,0,0.04,0.0425,4.53,3.36,1317.659592,0.763096,9.025276,90.342215,0.567042,1.389155,17.797564,12.9833,31.075473,1,3,0.3,1.15,0.000973
322,1.178571,0,0.04,0.005,4.53,3.36,1317.659592,0.763096,9.025276,90.342215,0.567042,1.389155,17.797564,12.9833,31.075473,1,3,0.8,1,0.000374
323,2.178571,0,0.04,0.07,4.53,3.36,1317.659592,0.763096,9.025276,90.342215,0.567042,1.389155,17.797564,12.9833,31.075473,1,3,0.55,1.075,0.000422
331,1,0,0.027,0.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0
332,1,1,0.027,0.0001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0
333,1,0,0.027,0.45,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0
334,1,0,0.027,0.425,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0
335,1,1,0.027,0.15,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0
